labels,Not,Exp,Imp
0,0.9888227,0.0038343503,0.007343072
1,0.033175796,0.83544815,0.13137607
0,0.9848241,0.0056201895,0.009555625
1,0.019230314,0.8904604,0.09030928
2,0.67684144,0.18910916,0.13404934
1,0.031426143,0.8511965,0.11737737
1,0.53372025,0.3336313,0.1326485
0,0.16902095,0.62154627,0.20943277
1,0.08414725,0.7179184,0.19793434
0,0.95337117,0.023903953,0.022724887
0,0.9895397,0.00380922,0.0066511068
2,0.1155077,0.61312234,0.27136993
1,0.032274596,0.7674627,0.20026271
0,0.98471767,0.0064458945,0.008836485
0,0.9800541,0.00796504,0.011980923
1,0.03707827,0.77096665,0.19195509
1,0.016034845,0.9089857,0.07497945
0,0.99106675,0.0035840184,0.0053491727
0,0.9913027,0.0033639758,0.005333264
1,0.574512,0.29015207,0.13533592
0,0.98445374,0.0064059533,0.009140247
1,0.015811197,0.90625733,0.07793146
1,0.03114705,0.7899718,0.17888117
0,0.9882951,0.004548219,0.0071567385
1,0.04173047,0.76156706,0.19670248
1,0.037280105,0.81409883,0.14862102
2,0.053171564,0.8355785,0.111249916
1,0.45168704,0.36944985,0.1788631
1,0.02027404,0.8552573,0.1244687
0,0.090548724,0.701203,0.20824821
1,0.01761042,0.83732116,0.14506847
0,0.9917623,0.0033424972,0.004895233
0,0.98907274,0.004311942,0.0066152234
1,0.02274579,0.837635,0.13961925
1,0.024074804,0.86708045,0.10884473
0,0.98579013,0.0055534285,0.008656462
1,0.07123781,0.7483711,0.18039106
1,0.93806493,0.03161698,0.030318042
2,0.022396121,0.8547713,0.12283248
0,0.98148364,0.00696786,0.011548618
1,0.021826968,0.8579223,0.12025073
0,0.05257179,0.81715995,0.13026825
1,0.09218025,0.6779037,0.22991605
1,0.046033416,0.82375705,0.13020948
1,0.016930927,0.8705593,0.11250984
0,0.98792946,0.0048276437,0.0072428226
2,0.03501236,0.78772175,0.17726587
2,0.0288228,0.8878543,0.08332289
0,0.98183954,0.0068881176,0.011272406
2,0.014828898,0.85915536,0.1260158
2,0.020469682,0.88419545,0.09533482
1,0.03750316,0.8686393,0.09385753
0,0.98916364,0.004250367,0.0065859887
1,0.053343553,0.74979687,0.19685961
1,0.024070278,0.8481085,0.1278212
0,0.9688913,0.013396775,0.01771181
0,0.9830304,0.007633797,0.009335879
0,0.98333836,0.006685045,0.009976669
1,0.03716668,0.79146284,0.17137048
0,0.06711767,0.718168,0.21471432
2,0.03953291,0.82946193,0.1310052
1,0.01987135,0.8184431,0.1616856
0,0.9869846,0.0051699155,0.007845481
1,0.014962561,0.8621042,0.12293329
0,0.9626218,0.017840724,0.019537516
2,0.049114287,0.7768618,0.1740239
0,0.9871357,0.005376033,0.0074882656
1,0.01122945,0.8379878,0.1507828
2,0.014960307,0.92176396,0.06327577
1,0.029886022,0.841517,0.12859704
1,0.3653244,0.43867654,0.19599904
1,0.032111537,0.8793977,0.08849081
0,0.7764517,0.12476395,0.09878439
1,0.015217349,0.88292855,0.101854056
1,0.034409806,0.82530695,0.14028324
0,0.043664575,0.800799,0.1555364
2,0.012521177,0.8969855,0.090493366
0,0.9820941,0.0075181867,0.010387746
1,0.052024577,0.8112829,0.13669261
1,0.020395275,0.856975,0.122629724
0,0.056923617,0.80932903,0.1337474
0,0.96701664,0.016429603,0.016553778
2,0.017571537,0.8724654,0.10996304
0,0.9753498,0.010213636,0.014436547
1,0.008786087,0.8966476,0.09456634
0,0.9878122,0.004656741,0.0075310133
0,0.24964389,0.531145,0.21921112
0,0.9898173,0.0041329265,0.0060497196
0,0.058348004,0.7354437,0.20620823
1,0.015864229,0.8565449,0.12759079
0,0.9775317,0.009306623,0.013161706
0,0.9007372,0.05887371,0.040389013
0,0.83097035,0.10697743,0.062052276
0,0.98935777,0.004345635,0.0062966463
0,0.980809,0.008309978,0.010881095
1,0.011028821,0.86725855,0.12171258
0,0.9335687,0.040438026,0.025993196
1,0.016617673,0.87906444,0.10431791
1,0.025313621,0.8467628,0.12792364
0,0.4822831,0.3267757,0.19094117
2,0.036408264,0.83569086,0.12790085
1,0.030172363,0.8983538,0.071473785
0,0.98191833,0.0065544024,0.011527181
1,0.01827303,0.83185786,0.1498691
1,0.034987163,0.81099564,0.15401722
0,0.98825246,0.004289366,0.0074580773
1,0.022571428,0.8412934,0.13613515
0,0.9642882,0.016694073,0.019017778
0,0.98368776,0.0065529635,0.009759245
1,0.014010199,0.85513276,0.13085699
1,0.12049668,0.7217501,0.15775324
0,0.9810656,0.008396589,0.010537861
0,0.75511557,0.12980542,0.115079045
0,0.02070182,0.8946018,0.08469637
1,0.03624999,0.84279937,0.12095069
1,0.015053886,0.823436,0.16151007
1,0.023066025,0.83501464,0.14191934
1,0.21723159,0.64974487,0.13302352
0,0.978377,0.010198545,0.011424496
1,0.053023312,0.82195884,0.12501779
0,0.9845978,0.0062595075,0.00914264
0,0.084521525,0.67976594,0.23571251
0,0.9440581,0.027203098,0.02873879
0,0.035393953,0.84160036,0.12300568
1,0.031835508,0.7905111,0.17765345
0,0.98578566,0.0058724163,0.008341859
0,0.025816629,0.8121894,0.16199395
0,0.98060787,0.007782469,0.011609633
1,0.036343675,0.80334437,0.16031191
0,0.8927732,0.051005695,0.056221
1,0.013772482,0.9050831,0.08114444
0,0.8967301,0.0550267,0.04824316
0,0.9893245,0.004433815,0.0062417067
1,0.04432297,0.83569485,0.11998221
0,0.98506725,0.005536535,0.009396256
1,0.013686723,0.90097636,0.085336894
2,0.01196221,0.8427156,0.14532213
0,0.86698484,0.086041465,0.046973698
2,0.06912353,0.7224385,0.20843789
0,0.9889464,0.003937521,0.007116011
0,0.97699624,0.010865249,0.01213853
1,0.030923756,0.87228495,0.0967913
0,0.9830079,0.007421371,0.00957075
1,0.099404916,0.82200986,0.078585275
2,0.0311597,0.73562014,0.23322019
0,0.97432613,0.011750297,0.013923514
0,0.4633864,0.3753951,0.16121843
0,0.9725859,0.011617395,0.015796619
1,0.018790044,0.9063582,0.07485174
0,0.9888237,0.0044763447,0.0066998913
1,0.02690153,0.8559743,0.11712418
0,0.9892736,0.004329268,0.006397173
0,0.13675277,0.66676664,0.19648059
1,0.20356312,0.52561504,0.27082187
0,0.5930494,0.25964513,0.14730547
2,0.015142366,0.8728652,0.11199243
2,0.046075128,0.746808,0.2071169
1,0.0472024,0.79318094,0.15961663
1,0.035199333,0.858121,0.10667969
0,0.100278266,0.6989251,0.2007966
2,0.06375188,0.72105026,0.21519783
1,0.9778725,0.009067458,0.013060003
0,0.41642308,0.38451952,0.19905736
2,0.029858537,0.81817776,0.15196367
0,0.17825975,0.5978542,0.22388604
2,0.47336242,0.32072413,0.20591345
0,0.98964,0.0039291414,0.006430909
2,0.38870615,0.38283232,0.2284615
0,0.9838365,0.006195875,0.0099676065
1,0.21701546,0.6212644,0.16172014
0,0.025343921,0.81642437,0.15823165
1,0.06641268,0.8280584,0.10552887
1,0.027866501,0.7821322,0.19000128
1,0.05166296,0.7754484,0.17288865
2,0.048406545,0.7380248,0.21356866
0,0.96104974,0.018987168,0.019963164
0,0.05365388,0.75111014,0.195236
0,0.9832093,0.0063443473,0.010446363
1,0.034197938,0.8180725,0.14772959
1,0.022330878,0.84642285,0.13124628
1,0.056867294,0.72992945,0.2132033
2,0.022438,0.8585339,0.11902808
1,0.11336983,0.73668927,0.14994086
1,0.014361557,0.8724442,0.11319424
0,0.98990494,0.004359773,0.005735291
1,0.051827613,0.81656086,0.13161151
1,0.54989606,0.3250058,0.1250981
1,0.022099623,0.87943375,0.09846664
0,0.0483315,0.75947994,0.19218858
0,0.97208136,0.011805597,0.016113024
1,0.033544876,0.8537257,0.112729475
0,0.98770535,0.0044079637,0.007886694
0,0.9855069,0.006238103,0.008254936
0,0.98180425,0.006914838,0.011280971
0,0.9866759,0.005578891,0.007745254
0,0.6559225,0.16152816,0.18254945
1,0.019483408,0.79891497,0.18160164
1,0.09519573,0.7005766,0.2042277
0,0.10966717,0.69203883,0.19829398
1,0.011299134,0.8858489,0.102851965
1,0.025922874,0.8337158,0.14036138
2,0.0102408305,0.88068813,0.10907107
1,0.015315308,0.89739263,0.08729206
2,0.012500572,0.85933286,0.12816659
0,0.9868209,0.004920409,0.008258716
0,0.98865896,0.0045235706,0.0068174046
1,0.020446448,0.8707262,0.10882726
0,0.94453067,0.024891699,0.03057771
0,0.98274463,0.0061386195,0.011116692
1,0.047495328,0.78040224,0.17210238
1,0.029299926,0.80196977,0.16873032
2,0.024676215,0.84514976,0.13017406
0,0.9811674,0.008815895,0.010016699
1,0.012940532,0.8771572,0.10990226
2,0.02334591,0.840069,0.13658506
0,0.9862049,0.005380102,0.00841492
0,0.07363236,0.6694879,0.2568798
2,0.14389682,0.64594567,0.2101575
0,0.5771598,0.27101865,0.15182155
0,0.88507855,0.058123443,0.056798052
1,0.014408331,0.8834303,0.1021614
0,0.9873237,0.005235888,0.0074403565
1,0.03643747,0.75541335,0.20814916
2,0.014551378,0.89340246,0.09204616
1,0.022408564,0.8878854,0.08970607
2,0.26849845,0.44074675,0.29075474
0,0.98901784,0.0040471745,0.006934948
0,0.99034625,0.0037491526,0.005904529
0,0.99012333,0.0039309408,0.0059457184
2,0.5822045,0.23607759,0.18171796
1,0.023729317,0.89630324,0.07996747
1,0.027252316,0.8992249,0.07352284
2,0.012660393,0.86114275,0.12619682
0,0.99097276,0.003866449,0.005160814
0,0.9897153,0.0040404415,0.0062442673
0,0.7188348,0.16963486,0.11153031
0,0.9907652,0.0036079518,0.005626838
1,0.019868324,0.8458977,0.13423407
0,0.95478183,0.021223068,0.023995109
1,0.014374417,0.8664775,0.11914803
2,0.05335023,0.75887454,0.18777528
0,0.061926834,0.80401355,0.13405956
1,0.020297933,0.885589,0.09411304
0,0.11692768,0.7103909,0.17268136
0,0.9905551,0.0038831444,0.005561706
1,0.04293282,0.80092305,0.15614414
2,0.0149245905,0.8461467,0.13892867
1,0.012476035,0.92069757,0.06682636
0,0.9897155,0.003881045,0.006403406
0,0.7697224,0.14031734,0.0899602
2,0.03859764,0.75522643,0.20617594
0,0.99084693,0.0036818478,0.0054712063
0,0.98638076,0.0051349723,0.0084843
0,0.6233173,0.20527217,0.17141055
1,0.054327592,0.6993326,0.2463398
0,0.6032468,0.22087848,0.17587468
1,0.6034499,0.24027686,0.15627323
1,0.07177406,0.68898594,0.23924002
1,0.035347365,0.85757947,0.107073165
0,0.43765402,0.36997253,0.1923735
0,0.41256848,0.40277168,0.1846598
0,0.9895191,0.004353818,0.0061270483
1,0.03369509,0.768194,0.1981109
1,0.032561474,0.7980988,0.16933976
1,0.012472539,0.91421115,0.073316224
0,0.9828325,0.0071384097,0.010029117
1,0.014015765,0.8612969,0.12468736
2,0.026965763,0.8501285,0.12290572
1,0.061922245,0.7737166,0.16436112
0,0.9815477,0.0076922197,0.0107601015
0,0.021332117,0.8182033,0.1604646
2,0.02248865,0.88204837,0.09546303
0,0.8595124,0.081384465,0.059103183
1,0.02319818,0.840287,0.13651481
0,0.9729783,0.014224733,0.0127969505
1,0.021573475,0.8890025,0.08942402
0,0.98260295,0.007733493,0.009663593
1,0.01314974,0.88294846,0.103901796
1,0.039200988,0.8194956,0.14130336
0,0.9637937,0.013749667,0.022456657
0,0.991206,0.0035966884,0.005197301
0,0.9888115,0.004307164,0.006881326
1,0.0197884,0.84451395,0.13569763
1,0.0144577045,0.8837696,0.10177278
0,0.94597894,0.026681758,0.027339425
1,0.012933935,0.9027225,0.08434365
0,0.11037669,0.74026483,0.14935845
0,0.70529944,0.20620795,0.08849264
1,0.027836593,0.8238406,0.14832278
2,0.026043184,0.8733859,0.10057093
1,0.02039472,0.9106412,0.0689641
0,0.9903598,0.0036369737,0.0060032443
0,0.9900393,0.003914335,0.0060464265
1,0.04037625,0.7790341,0.18058969
1,0.05157551,0.80107033,0.14735416
0,0.97876877,0.00888117,0.012350102
0,0.9486766,0.025646936,0.025676498
1,0.12860951,0.6765208,0.19486967
0,0.030376274,0.8053235,0.16430022
0,0.9873052,0.005320078,0.007374707
1,0.01658851,0.87380975,0.10960169
0,0.7237747,0.14986815,0.12635721
0,0.97940916,0.009874645,0.010716159
2,0.030014774,0.79099065,0.1789946
1,0.018786015,0.81656754,0.16464648
2,0.98982304,0.004057366,0.0061194976
0,0.9525388,0.026471438,0.020989776
1,0.19926566,0.65506727,0.14566712
1,0.17932697,0.5887605,0.23191254
1,0.022540122,0.7624182,0.21504167
0,0.9440983,0.027276266,0.028625412
0,0.9837593,0.0063382084,0.009902601
1,0.038579524,0.8301445,0.13127594
0,0.99008465,0.004494305,0.0054210164
2,0.020891948,0.8811358,0.09797216
0,0.97950107,0.00910026,0.011398617
1,0.020155735,0.8360778,0.14376642
1,0.020792032,0.8661001,0.11310786
0,0.9867981,0.0053597377,0.007842181
0,0.078865066,0.7296571,0.19147784
1,0.011335749,0.88373214,0.10493209
2,0.79895216,0.1315657,0.06948213
1,0.062796034,0.7458549,0.19134898
1,0.03389525,0.8342644,0.13184033
1,0.054450564,0.7480513,0.19749822
2,0.06602482,0.73342544,0.20054977
0,0.9410548,0.030705221,0.028239952
0,0.9903024,0.0041538677,0.0055437563
2,0.023480872,0.87941235,0.09710676
1,0.022263592,0.7767975,0.20093888
0,0.99046916,0.0038573758,0.0056735375
0,0.93863624,0.029476436,0.03188736
0,0.76429886,0.13067529,0.10502594
0,0.98334163,0.006844435,0.009813938
0,0.82548577,0.09357652,0.080937654
2,0.01250017,0.8838287,0.103671186
0,0.03904213,0.8049757,0.15598223
0,0.97613186,0.010888739,0.012979305
0,0.9789427,0.008517336,0.012539975
1,0.03207224,0.7738445,0.19408327
0,0.9843575,0.0066271145,0.009015372
0,0.51548946,0.31186092,0.17264967
0,0.9891907,0.0042833877,0.0065260152
0,0.984133,0.0065018316,0.009365177
1,0.027333066,0.80634445,0.16632251
0,0.97259694,0.011943631,0.015459412
0,0.32980496,0.52384806,0.14634706
1,0.047935832,0.8388565,0.113207676
2,0.10305395,0.7255358,0.17141022
1,0.053847633,0.86645263,0.07969973
2,0.3772202,0.4378637,0.1849161
1,0.02365207,0.8199387,0.15640917
0,0.9898112,0.004394152,0.005794715
1,0.012950794,0.85025203,0.13679715
1,0.015733212,0.8094482,0.17481855
0,0.95559275,0.01894224,0.025465017
2,0.012127821,0.89545023,0.09242194
1,0.013685324,0.90838516,0.07792957
1,0.01708216,0.8168708,0.16604704
2,0.029952573,0.8137776,0.15626982
0,0.9898415,0.003705129,0.0064533055
1,0.066808015,0.79012406,0.1430679
2,0.9631019,0.01543227,0.021465834
1,0.03620738,0.8318883,0.13190429
0,0.13704245,0.6554457,0.20751183
1,0.034162253,0.8184322,0.14740555
0,0.98932487,0.0047296765,0.005945384
1,0.017300503,0.86767757,0.11502186
0,0.057325903,0.79561174,0.14706235
0,0.9405662,0.029397262,0.03003651
2,0.23772523,0.5851718,0.17710291
0,0.9830739,0.0075670183,0.009359084
0,0.9496121,0.025563622,0.024824353
0,0.9902305,0.0037646894,0.006004757
1,0.040706176,0.7652848,0.19400908
1,0.043391474,0.8609495,0.09565907
0,0.98916525,0.0041608866,0.0066738822
2,0.025809532,0.7743782,0.1998123
1,0.024693279,0.81298345,0.16232325
0,0.9831594,0.008354235,0.008486323
1,0.020602254,0.87232655,0.10707117
0,0.95490444,0.022231886,0.022863643
1,0.025489226,0.8378171,0.13669378
0,0.7422714,0.16382553,0.093903124
2,0.9066305,0.046053603,0.047315884
0,0.9901687,0.0037881588,0.0060432046
1,0.022063164,0.84526837,0.13266847
1,0.035096206,0.8717768,0.09312695
1,0.017223552,0.8816766,0.101099856
0,0.98461205,0.006517791,0.008870119
0,0.98841465,0.0049800477,0.0066052824
1,0.06576144,0.73505265,0.19918594
0,0.9871679,0.005352111,0.007480099
0,0.6651145,0.24331349,0.091571964
0,0.9831957,0.0060153264,0.01078895
2,0.25910226,0.44429722,0.29660055
0,0.5980561,0.26131424,0.14062963
0,0.17958654,0.5985494,0.22186401
1,0.22041948,0.5380917,0.24148877
2,0.11074762,0.6722597,0.21699266
2,0.9863122,0.0053959135,0.008291941
0,0.94968516,0.024505492,0.025809342
0,0.9869423,0.0054297433,0.007627888
2,0.02483436,0.81402236,0.16114329
0,0.44882435,0.39194274,0.15923293
0,0.9871862,0.0054577314,0.007355999
1,0.026027266,0.85234267,0.12163006
0,0.99001604,0.0037874414,0.006196432
1,0.0308138,0.8188574,0.15032886
2,0.9895141,0.004195604,0.00629025
1,0.011798066,0.85925424,0.1289477
2,0.2755259,0.46982718,0.25464693
1,0.014594145,0.91041553,0.074990265
1,0.014841917,0.85748607,0.12767199
1,0.20280495,0.58124274,0.21595234
1,0.5112302,0.29310638,0.19566344
0,0.9111664,0.04610782,0.042725757
0,0.881215,0.0582253,0.060559746
0,0.040791046,0.81341493,0.14579405
0,0.9853699,0.007012142,0.0076180235
1,0.015052396,0.8376146,0.14733306
0,0.9884283,0.0043069674,0.0072648237
0,0.95296955,0.021858485,0.02517197
0,0.97400624,0.010389225,0.0156045845
1,0.018910497,0.8993984,0.081691146
0,0.9896541,0.004707337,0.0056385156
0,0.8740669,0.06788481,0.05804831
2,0.7619202,0.11800687,0.12007292
0,0.71233064,0.20915101,0.07851832
0,0.050983973,0.79606104,0.15295497
0,0.73037106,0.14173931,0.12788959
0,0.98836017,0.0043363315,0.0073035317
0,0.98061955,0.007965031,0.0114154
1,0.018237347,0.8600649,0.121697724
0,0.9902519,0.0036179577,0.0061302404
0,0.9828713,0.0071183783,0.010010306
0,0.98243356,0.009225756,0.008340752
2,0.059076935,0.7368873,0.20403577
1,0.02342458,0.875459,0.10111639
1,0.06391611,0.70621717,0.22986673
2,0.01634485,0.90625215,0.07740302
0,0.99096,0.00363839,0.0054017133
0,0.9870337,0.0058149826,0.007151415
2,0.032689787,0.78039545,0.18691474
0,0.9834432,0.0070274128,0.009529431
2,0.01732867,0.85857946,0.12409188
1,0.67756206,0.1771611,0.14527686
0,0.98924655,0.004043225,0.006710146
0,0.9892757,0.003957089,0.0067671705
0,0.97288316,0.012183164,0.014933759
1,0.033805702,0.8259614,0.14023288
2,0.06810755,0.7645057,0.16738677
1,0.019707475,0.8407304,0.1395621
0,0.45859256,0.3666625,0.17474502
1,0.022910697,0.85641366,0.12067563
1,0.020040555,0.892699,0.0872604
0,0.67735994,0.24049893,0.08214113
1,0.029245911,0.798252,0.1725021
0,0.90490407,0.05576027,0.03933566
1,0.049158532,0.7425294,0.20831202
1,0.021490429,0.8367384,0.14177115
1,0.14328943,0.69729775,0.15941282
1,0.04535675,0.74443954,0.2102037
2,0.050681204,0.75217587,0.19714294
0,0.8877952,0.060391303,0.051813494
0,0.9650685,0.018979538,0.015951931
0,0.98685604,0.005217912,0.0079260655
1,0.017886939,0.8739882,0.108124845
0,0.968322,0.016103977,0.015574138
1,0.021588359,0.8807673,0.09764441
0,0.9905996,0.003577426,0.005823073
0,0.97370017,0.012095696,0.014204112
1,0.028271245,0.89020526,0.08152353
0,0.9903149,0.003861939,0.00582316
0,0.9915896,0.0033641935,0.0050462424
0,0.96337855,0.014011167,0.022610268
0,0.99147886,0.0032010255,0.005320151
0,0.08658374,0.744453,0.16896327
2,0.01969237,0.81100637,0.16930123
0,0.99009633,0.0040206886,0.005882973
0,0.9674118,0.012981049,0.019607078
0,0.98756915,0.00509076,0.0073400894
1,0.018012758,0.91954607,0.06244113
2,0.040704593,0.76676714,0.19252826
0,0.96491474,0.017548013,0.017537246
1,0.034377284,0.81035614,0.1552666
0,0.9729514,0.012958668,0.01408999
2,0.9822978,0.0076822564,0.010019919
0,0.9866679,0.004963599,0.008368593
1,0.025027877,0.774462,0.20051011
0,0.86511695,0.084289506,0.050593585
0,0.99089736,0.0033886973,0.005713935
2,0.15213697,0.6486421,0.1992209
0,0.98441607,0.006426491,0.00915746
0,0.98311067,0.006641128,0.0102481805
0,0.47545233,0.35454863,0.16999908
0,0.8423487,0.08573985,0.071911424
1,0.9521207,0.024740754,0.023138542
1,0.024562301,0.8563321,0.11910556
0,0.7401152,0.14391907,0.11596571
1,0.016467184,0.86143833,0.12209449
0,0.042504985,0.78534687,0.17214817
1,0.051070016,0.8096159,0.13931409
0,0.9828393,0.0068084835,0.010352211
0,0.04049716,0.85848176,0.101021044
0,0.98706275,0.004764367,0.008172914
0,0.9900892,0.004164964,0.005745781
1,0.026263906,0.7768586,0.19687746
0,0.9864937,0.004511004,0.008995321
1,0.044876855,0.8722893,0.082833834
2,0.01631784,0.88227326,0.10140898
1,0.014608374,0.8763983,0.10899334
0,0.9893895,0.0038173292,0.0067931875
2,0.017007103,0.87242526,0.110567585
1,0.027100805,0.90483874,0.06806042
1,0.031199489,0.85823166,0.11056879
0,0.9263287,0.032743584,0.040927704
0,0.898836,0.055805683,0.045358323
1,0.08189576,0.6657607,0.25234357
1,0.022017037,0.8698516,0.10813132
2,0.08889936,0.7135956,0.19750497
1,0.016209844,0.84417284,0.13961728
1,0.022233142,0.8991487,0.078618154
1,0.092644505,0.6583522,0.24900332
1,0.013511397,0.90757966,0.07890897
0,0.8817034,0.06948328,0.04881338
1,0.13249001,0.59340644,0.27410352
1,0.018672995,0.87063897,0.11068805
1,0.0983664,0.72719467,0.17443886
0,0.97784925,0.010293725,0.011857064
2,0.013260357,0.86519164,0.121548
1,0.019619532,0.8919742,0.08840623
0,0.06415663,0.77076846,0.16507493
2,0.018346542,0.831035,0.15061843
0,0.19338901,0.5485477,0.2580633
2,0.037721854,0.8173296,0.14494862
0,0.9872257,0.005658077,0.007116113
0,0.97138375,0.012800597,0.015815722
0,0.9886777,0.004159173,0.007163101
1,0.0109834885,0.9155919,0.073424675
0,0.9816855,0.008336042,0.00997844
0,0.83662885,0.091401994,0.07196924
0,0.060837507,0.77788466,0.16127783
0,0.23125657,0.51059955,0.25814387
0,0.972453,0.013186017,0.014360962
0,0.98735994,0.004838066,0.0078019677
0,0.9551765,0.022233771,0.022589734
1,0.020595089,0.78112465,0.19828022
1,0.035603926,0.754752,0.2096441
1,0.016625566,0.8955991,0.087775335
0,0.9882057,0.0045548584,0.0072394256
2,0.054091,0.7867917,0.15911734
0,0.7370176,0.16762589,0.095356576
0,0.26007146,0.49625805,0.24367054
0,0.025503466,0.8552859,0.11921062
0,0.11414367,0.72837377,0.15748256
2,0.030803567,0.8193069,0.14988948
0,0.9882833,0.0047662356,0.0069504213
1,0.024714664,0.80591244,0.16937293
0,0.97531337,0.01126403,0.013422593
0,0.9889207,0.004215236,0.0068640807
2,0.9877527,0.004598188,0.0076491013
2,0.021781879,0.86628985,0.11192821
0,0.98421973,0.006862912,0.00891741
2,0.95696896,0.018942665,0.024088327
0,0.0748239,0.73821884,0.18695724
0,0.7257252,0.15709442,0.117180385
0,0.98859274,0.0051710033,0.006236183
2,0.039228447,0.8507709,0.1100007
2,0.015871456,0.87709165,0.10703695
2,0.051321857,0.71907073,0.22960739
2,0.024068333,0.84386295,0.13206871
0,0.1289944,0.7011834,0.16982225
1,0.01693438,0.8288782,0.15418743
1,0.08491919,0.7414576,0.17362326
1,0.06582473,0.7409203,0.19325495
0,0.24107131,0.51268965,0.24623898
0,0.97984743,0.008730507,0.011422118
1,0.21769767,0.61543727,0.16686508
0,0.023201838,0.8604779,0.1163203
0,0.9915902,0.0032897855,0.00512004
1,0.023090089,0.903141,0.07376883
0,0.06239658,0.7305276,0.20707586
2,0.03467263,0.8187647,0.1465626
1,0.014764437,0.88381535,0.10142016
1,0.019026134,0.9138654,0.0671085
1,0.015388931,0.852751,0.13186003
1,0.12959261,0.67992526,0.1904821
1,0.012748823,0.90688604,0.08036515
2,0.013490752,0.9072704,0.07923891
1,0.06433227,0.7513903,0.18427752
0,0.9895834,0.0037420318,0.0066746217
0,0.5976281,0.24167524,0.16069669
0,0.9168945,0.044965733,0.0381397
1,0.0156981,0.8594272,0.1248747
2,0.01284393,0.8889259,0.09823015
0,0.2168757,0.55732554,0.22579877
1,0.040776737,0.7877519,0.17147134
0,0.9884675,0.004557541,0.0069749826
1,0.026651097,0.8103598,0.16298905
0,0.23504888,0.5648774,0.20007375
0,0.051288955,0.71279305,0.23591794
0,0.9878419,0.004651896,0.007506254
1,0.011734302,0.91884094,0.0694248
2,0.025303481,0.8537397,0.120956846
2,0.10533782,0.7955525,0.0991097
0,0.92964584,0.039452165,0.030902041
0,0.9872028,0.0044987644,0.008298395
